Taxonomy	EUB11	EUB12	EUBA1	EUBA10	EUBA11	EUBA12	EUBA2	EUBA3	EUBA4	EUBA5	EUBA6	EUBA7	EUBA8	EUBA9	EUBB1	EUBB10	EUBB11	EUBB2	EUBB3	EUBB4	EUBB5	EUBB7	EUBB8	EUBB9	EUBC1	EUBC10	EUBC11	EUBC12	EUBC2	EUBC3	EUBC4	EUBC5	EUBC6	EUBC8	EUBC9	EUBD1	EUBD10	EUBD11	EUBD12	EUBD2	EUBD3	EUBD4	EUBD5	EUBD6	EUBD7	EUBD8	EUBD9	EUBE1	EUBE2	EUBE3	EUBE4	EUBE5	EUBE6	EUBE7	EUBE8	EUBF1	EUBF11	EUBF12	EUBF2	EUBF3	EUBF4	EUBF5	EUBF6	EUBF7	EUBF8	EUBG1	EUBG11	EUBG12	EUBG2	EUBG3	EUBG4	EUBG5	EUBG6	EUBG7	EUBG8	EUBH1	EUBH2	EUBH3	EUBH4	EUBH5	EUBH6	EUBH7	EUBH8	EUBH9
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__	37	0	31	0	0	0	0	368	72	30	0	613	0	0	127	33	0	496	486	178	39	0	0	0	14	0	0	0	535	2603	1744	1188	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	35	0	0	20	0	0	0	0	0	0	35	0	0	0	34	744	0	243	269	0	0	47	52	692	25	47	91	111
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NA;s__	0	0	1124	0	0	0	1035	1510	1882	1708	1914	773	51	0	0	0	0	0	0	0	0	28	56	23	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	39	95	28	62	69	0	0	0	0	0	0	34	38	81	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__NA;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	1283	1390	0	0	0	0	0	29	0	0	974	2823	0	0	0	0	0	0	0	0	1026	109	189	0	0	0	0	247	0	2379	102	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__NA;s__	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	1287	1364	0	0	0	0	0	0	0	0	925	2616	0	0	0	0	0	0	0	0	994	101	185	15	0	32	40	240	0	2266	95	0	0	138	193	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__NA;s__	0	0	90	0	0	0	373	2161	349	517	11	5112	89	235	0	22	0	0	0	0	0	34	72	34	0	0	0	0	0	0	0	0	0	169	61	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	76	249	69	0	12	0	0	0	0	0	242	169	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;s__	0	25	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	22	0	0	21	0	0	0	77	0	0	107	0	0	0	131	32	0	0	0	0	0	89	0	0	37	0	0	0	0	0	0	35	86	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	2855	0	0	238	1552	0	0	0	0	0	67	4043	295	25	0	0	22	43	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__NA;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309	0	0	722	363	1126	3583	0	0	0	0	0	0	0	0	74	529	392	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	203	69	112	119
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylobacillus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	0	724	1139	472	4243	1518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Candidatus Accumulibacter;s__	0	0	28	0	0	0	0	879	33	0	0	6840	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	29	0	0	0	0	0	0	46	82	0	0	7	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__Defluviicoccaceae;g__Defluviicoccus;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	30	0	0	0	40	0	0	0	0	0	0	0	0	0	0	45	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	9	0	1805	2178	2168	0	13	0	0	25	413	79	93	56
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__NA;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	7	8	96	1476	0	0	0	49	0	0	0	77	115	834	28	0	0	0	0	0	0	0	0	0	0	1472	1380	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4	1392	20	0	0	0	0	7	16	125	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__NA;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530	0	0	89	931	1470	1243	0	0	0	41	0	0	0	453	296	118	583	359	0	0	160	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9 marine group;g__NA;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	13	381	265	17	0	0	0	50	0	0	0	63	29	52	97	45	0	0	167	0	0	0	262	213	623	136	141	0	0	0	373	239	205	0	0	0	0	0	858	0	0	428	112	0	0	0	0	0	55	0	0	31	120	27	0	0	0	0	118	41	204	0	0	671	79	107	34
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	220	0	43	0	128	0	0	0	106	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	65	20	0	0	0	0	0	33	167	0	42	29	0	0	0	0	0	0	216	0	25	0	61	475	261	479	426	33	0	0	117	680	714	368	505	338
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	0	0	63	0	0	0	1796	0	0	3288	665	142	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__	108	323	0	0	549	2357	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	31	345	0	0	0	0	0	0	0	0	0	19	198	0	0	0	0	0	0	0	0	33	0	38	0	0	0	0	0	0	91	766	0	0	0	0	0	0	0	0	95	289	26	70	0	44	0	40	0	0	0	37	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__NA;s__	80	13	13	0	419	7	38	0	0	0	0	0	0	0	15	0	445	0	4	31	223	0	0	0	48	14	246	22	13	20	158	27	78	0	0	0	131	196	26	0	13	74	122	54	0	0	0	277	258	61	0	0	0	0	0	32	128	34	247	45	0	0	0	0	0	231	83	37	258	37	14	18	134	151	174	105	606	153	119	19	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Taibaiella;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	149	88	23	0	0	0	388	0	0	0	347	71	99	41	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	613	418	50	0	0	0	0	0	418	0	0	525	321	0	0	0	0	0	117	0	0	467	101	0	0	0	0	0	1112	22	64	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__37-13;g__NA;s__	1309	0	0	0	1114	0	0	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	4	781	0	0	0	0	0	0	0	0	0	0	1489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Aquimonas;s__	0	0	51	0	0	0	531	317	816	848	1338	682	0	0	342	0	0	61	25	98	26	0	0	0	0	0	0	0	18	0	7	109	134	0	0	0	0	0	0	0	11	44	46	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
